key,description
node.net.iface.bytes.in.rate.1,Input bytes per second for interface 1
node.net.iface.bytes.in.rate.2,Input bytes per second for interface 2
node.net.iface.bytes.in.rate.3,Input bytes per second for interface 3
node.net.iface.bytes.in.rate.4,Input bytes per second for interface 4
node.net.iface.bytes.in.rate.5,Input bytes per second for interface 5
node.net.iface.bytes.in.rate.6,Input bytes per second for interface 6
node.net.iface.bytes.in.rate.7,Input bytes per second for interface 7
node.net.iface.bytes.in.rate.8,Input bytes per second for interface 8
node.net.iface.bytes.in.rate.9,Input bytes per second for interface 9
node.net.iface.bytes.in.rate.10,Input bytes per second for interface 10
node.net.iface.bytes.in.rate.11,Input bytes per second for interface 11
node.net.iface.bytes.in.rate.12,Input bytes per second for interface 12
node.net.iface.bytes.in.rate.13,Input bytes per second for interface 13
node.net.iface.bytes.in.rate.14,Input bytes per second for interface 14
node.net.iface.bytes.in.rate.15,Input bytes per second for interface 15
node.net.iface.bytes.out.rate.0,Output bytes per second for interface 0
node.net.iface.bytes.out.rate.1,Output bytes per second for interface 1
node.net.iface.bytes.out.rate.2,Output bytes per second for interface 2
node.net.iface.bytes.out.rate.3,Output bytes per second for interface 3
node.net.iface.bytes.out.rate.4,Output bytes per second for interface 4
node.net.iface.bytes.out.rate.5,Output bytes per second for interface 5
node.net.iface.bytes.out.rate.6,Output bytes per second for interface 6
node.net.iface.bytes.out.rate.7,Output bytes per second for interface 7
node.net.iface.bytes.out.rate.8,Output bytes per second for interface 8
node.net.iface.bytes.out.rate.9,Output bytes per second for interface 9
node.net.iface.bytes.out.rate.10,Output bytes per second for interface 10
node.net.iface.bytes.out.rate.11,Output bytes per second for interface 11
node.net.iface.bytes.out.rate.12,Output bytes per second for interface 12
node.net.iface.bytes.out.rate.13,Output bytes per second for interface 13
node.net.iface.bytes.out.rate.14,Output bytes per second for interface 14
node.net.iface.bytes.out.rate.15,Output bytes per second for interface 15
node.net.iface.packets.in.rate.0,Input packets per second for interface 0
node.net.iface.packets.in.rate.1,Input packets per second for interface 1
node.net.iface.packets.in.rate.2,Input packets per second for interface 2
node.net.iface.packets.in.rate.3,Input packets per second for interface 3
node.net.iface.packets.in.rate.4,Input packets per second for interface 4
node.net.iface.packets.in.rate.5,Input packets per second for interface 5
node.net.iface.packets.in.rate.6,Input packets per second for interface 6
node.net.iface.packets.in.rate.7,Input packets per second for interface 7
node.net.iface.packets.in.rate.8,Input packets per second for interface 8
node.net.iface.packets.in.rate.9,Input packets per second for interface 9
node.net.iface.packets.in.rate.10,Input packets per second for interface 10
node.net.iface.packets.in.rate.11,Input packets per second for interface 11
node.net.iface.packets.in.rate.12,Input packets per second for interface 12
node.net.iface.packets.in.rate.13,Input packets per second for interface 13
node.net.iface.packets.in.rate.14,Input packets per second for interface 14
node.net.iface.packets.in.rate.15,Input packets per second for interface 15
node.net.iface.packets.out.rate.0,Output packets per second for interface 0
node.net.iface.packets.out.rate.1,Output packets per second for interface 1
node.net.iface.packets.out.rate.2,Output packets per second for interface 2
node.net.iface.packets.out.rate.3,Output packets per second for interface 3
node.net.iface.packets.out.rate.4,Output packets per second for interface 4
node.net.iface.packets.out.rate.5,Output packets per second for interface 5
node.net.iface.packets.out.rate.6,Output packets per second for interface 6
node.net.iface.packets.out.rate.7,Output packets per second for interface 7
node.net.iface.packets.out.rate.8,Output packets per second for interface 8
node.net.iface.packets.out.rate.9,Output packets per second for interface 9
node.net.iface.packets.out.rate.10,Output packets per second for interface 10
node.net.iface.packets.out.rate.11,Output packets per second for interface 11
node.net.iface.packets.out.rate.12,Output packets per second for interface 12
node.net.iface.packets.out.rate.13,Output packets per second for interface 13
node.net.iface.packets.out.rate.14,Output packets per second for interface 14
node.net.iface.packets.out.rate.15,Output packets per second for interface 15
node.net.iface.errors.in.rate.0,Input errors per second for interface 0
node.net.iface.errors.in.rate.1,Input errors per second for interface 1
node.net.iface.errors.in.rate.2,Input errors per second for interface 2
node.net.iface.errors.in.rate.3,Input errors per second for interface 3
node.net.iface.errors.in.rate.4,Input errors per second for interface 4
node.net.iface.errors.in.rate.5,Input errors per second for interface 5
node.net.iface.errors.in.rate.6,Input errors per second for interface 6
node.net.iface.errors.in.rate.7,Input errors per second for interface 7
node.net.iface.errors.in.rate.8,Input errors per second for interface 8
node.net.iface.errors.in.rate.9,Input errors per second for interface 9
node.net.iface.errors.in.rate.10,Input errors per second for interface 10
